Timestamp,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor)
2026-06-16 22:30:00,0.21696030,0.34555551,0.58345109,0.03840004,0.00000000,0.30212379,0.73580170,8.02619267,0.38871458,0.21825705,1.34162545,17.16876984,0.38642517,0.27155602,0.53914112,0.31395802,0.39049643,0.87167352,0.49642131,0.13701169,0.23751016,0.15164930,0.54055452,1.66526425,0.94694114
2026-06-16 22:45:00,0.30775031,0.43834701,0.54247761,0.05140210,0.00000000,0.29494861,0.72528577,8.18474102,0.38414451,0.23541386,1.61549771,17.81908989,0.45849821,0.26450559,0.52029055,0.30176240,0.43433398,0.90892774,0.51634812,0.13510765,0.23415586,0.14604586,0.52353358,1.64108479,0.92493260
2026-06-16 23:00:00,0.23302829,0.39155549,0.53589427,0.04348582,0.00000000,0.30049226,0.73672444,8.03926659,0.38618788,0.24314719,1.60960495,17.20985985,0.47182035,0.26927704,0.51727659,0.30560365,0.43595850,0.87462515,0.49955180,0.13427509,0.22655185,0.14516994,0.47779852,1.45544326,0.83111584
2026-06-16 23:15:00,0.21342660,0.52577782,0.48012650,0.07282663,0.00000000,0.30409381,0.74177003,8.39071655,0.39504752,0.22959137,1.39357054,16.76641083,0.42086685,0.26667401,0.51667863,0.30090696,0.38971677,0.79623348,0.45570529,0.14171526,0.26335621,0.16358051,0.42931908,1.32087886,0.75084782
2026-06-16 23:30:00,0.21889301,0.42657191,0.47352999,0.03635602,0.00000000,0.24925727,0.60286164,8.35129929,0.31574461,0.23219223,1.53237998,17.18973923,0.46850023,0.21573548,0.41562515,0.24489841,0.40154585,0.71817237,0.41566676,0.12847835,0.22930533,0.14422530,0.38293213,1.18900764,0.67262769
2026-06-16 23:45:00,0.34416360,0.38800001,0.59468973,0.07096931,0.00000000,0.26890194,0.67401063,9.52919674,0.35598496,0.27389553,1.88497889,17.82517052,0.56611526,0.22987865,0.42738390,0.25132009,0.49260506,0.88291299,0.51037562,0.12733060,0.23530929,0.14875479,0.42023996,1.28734446,0.73310369
2026-06-17 00:00:00,0.38377699,0.40746501,0.61124068,0.10527460,0.00000000,0.32680252,0.83427602,8.65287590,0.44064015,0.31363958,2.31206989,17.14913940,0.69511157,0.28862771,0.54987627,0.31963634,0.56237501,0.87480813,0.51209575,0.14240359,0.28820780,0.17217061,0.46112368,1.43648338,0.81197685
2026-06-17 00:15:00,0.33652449,0.31311110,0.50066090,0.06034784,0.00000000,0.33020866,0.82641101,8.37253475,0.43318376,0.25258571,1.76946199,17.68684959,0.53083783,0.29483056,0.56623179,0.33254766,0.44705459,0.76257050,0.44269922,0.12849726,0.22405869,0.15261963,0.40894303,1.24257994,0.71016645
2026-06-17 00:30:00,0.27772960,0.46722949,0.52800637,0.09400875,0.00000000,0.32579201,0.84261906,9.54296303,0.44060028,0.27551252,1.87658167,16.93456078,0.57810271,0.28804600,0.54509473,0.31674215,0.47086015,0.76713550,0.44806829,0.14163718,0.27155873,0.16484442,0.43915603,1.37004793,0.77342004
2026-06-17 00:45:00,0.30922541,0.48266670,0.58400619,0.11987070,0.00000000,0.34268504,0.87678933,8.55360699,0.46520531,0.28660631,1.96391976,17.77297974,0.60038710,0.30314344,0.57202494,0.33223575,0.49102652,0.79862821,0.46867129,0.15128155,0.29348624,0.18082353,0.43019986,1.30353892,0.74551696
